timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537689415993,48,get_login,200,OK,login_logout 4-27,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,48,0,21
1537689415992,53,get_login,200,OK,login_delete_logout 3-5,text,true,,1371,130,5,49,http://eds_university.eleks.com/login,53,0,22
1537689415991,54,get_login,200,OK,login_make_delete_logout 2-9,text,true,,1371,130,10,49,http://eds_university.eleks.com/login,54,0,23
1537689415991,54,get_login,200,OK,login_logout 4-25,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,54,0,23
1537689415992,53,get_login,200,OK,login_delete_logout 3-1,text,true,,1371,130,5,49,http://eds_university.eleks.com/login,53,0,22
1537689415987,59,get_login,200,OK,login_make_delete_logout 2-8,text,true,,1371,130,10,49,http://eds_university.eleks.com/login,59,0,26
1537689415989,57,get_login,200,OK,login_make_logout 1-5,text,true,,1371,130,5,49,http://eds_university.eleks.com/login,57,0,25
1537689416277,41,get_login,200,OK,login_logout 4-5,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,41,0,17
1537689416277,41,get_login,200,OK,login_logout 4-29,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,41,0,18
1537689416277,41,get_login,200,OK,login_logout 4-30,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,41,0,18
1537689416656,35,get_login,200,OK,login_make_logout 1-2,text,true,,1371,130,5,49,http://eds_university.eleks.com/login,35,0,17
1537689416658,36,get_login,200,OK,login_make_delete_logout 2-3,text,true,,1371,130,10,49,http://eds_university.eleks.com/login,36,0,18
1537689416660,36,get_login,200,OK,login_delete_logout 3-2,text,true,,1371,130,5,49,http://eds_university.eleks.com/login,36,0,18
1537689414886,2005,get_product_list,200,OK,login_make_logout 1-3,text,true,,1113711,246,5,49,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,889,0,0
1537689416910,70,get_login,200,OK,login_logout 4-13,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,70,0,32
1537689415981,1182,get_product_list,200,OK,login_logout 4-16,text,true,,1113460,246,29,49,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,416,0,0
1537689417181,39,get_login,200,OK,login_logout 4-14,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,39,0,20
1537689415981,1221,get_product_list,200,OK,login_logout 4-15,text,true,,1113460,246,29,49,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,760,0,0
1537689415994,1286,post_login,200,OK,login_logout 4-26,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1286,0,20
1537689416031,1252,post_login,200,OK,login_logout 4-19,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1252,0,23
1537689416278,1005,post_login,200,OK,login_logout 4-3,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1005,0,19
1537689417281,36,get_login,200,OK,login_logout 4-18,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,36,0,17
